ano,IE,IDT,IDJ,IDV
1979,0.16101443121687636,0.7959035954536076,0.6855242915623446,0.11037930389126303
1980,0.1647412898924611,0.7794285519622677,0.6691859889626057,0.11024256299966191
1981,0.16852153133328956,0.7645142753285182,0.6542577563429262,0.11025651898559215
1982,0.17235819256980772,0.7511954552689484,0.6407559225754451,0.11043953269350337
1983,0.17630599614749926,0.7394235266066128,0.6285979405259233,0.1108255860806894
1984,0.1803077028656545,0.7297038369532507,0.6182318688437022,0.11147196810954854
1985,0.19467026023527112,0.7326060007501152,0.6132286247803976,0.11937737596971745
1986,0.19580510312745028,0.7242958776327452,0.6056972626546392,0.11859861497810596
1987,0.1975364734394061,0.7180784002453547,0.5996296698863666,0.11844873035898812
1988,0.19974461000024304,0.7136480417179618,0.5948332968279119,0.11881474489005005
1989,0.20231015506956843,0.7106093958085532,0.5910366745321516,0.11957272127640162
1990,0.20516774560629453,0.7084479401583804,0.587841769530577,0.12060617062780343
1991,0.20835555575487696,0.7065351321623335,0.584707976718782,0.1218271554435515
1992,0.2118900410848499,0.7044040828960504,0.5812442210231282,0.12315986187292222
1993,0.21596267364595897,0.7019002555888534,0.5772383238411967,0.12466193174765673
1994,0.2200620161159282,0.6982417142543648,0.5723001823114039,0.12594153194296082
1995,0.22450321513945307,0.6938051555781127,0.566601334320791,0.12720382125732171
1996,0.22934793691725722,0.6888619160236473,0.5603473966459441,0.12851451937770328
1997,0.23454641888783526,0.6836461825509689,0.5537630437313524,0.12988313881961644
1998,0.2401325047562095,0.6784260616854166,0.5470593336465965,0.13136672803882016
1999,0.24615715653099196,0.6733656632273743,0.5403537264126989,0.13301193681467552
2000,0.2527220417034348,0.6684480744980578,0.5335964820967873,0.1348515924012704
2001,0.25994510787227443,0.663544847936182,0.5266458386085882,0.13689900932759386
2002,0.26799367522575057,0.6584941028924077,0.5193197062084486,0.13917439668395917
2003,0.2770084710887727,0.6531207725700581,0.5114459201771854,0.1416748523928726
2004,0.2871385935252096,0.6471859809864585,0.502809863865513,0.14437611712094553
2005,0.29893421784437796,0.6404394384493881,0.4930499402134601,0.147389498235928
2006,0.3113594169655471,0.6337078995565137,0.48324501380628204,0.15046288575023173
2007,0.3249279497089291,0.6267886001549351,0.47307372472037673,0.15371487543455833
2008,0.3395913040634504,0.6199779398556292,0.4628112604008541,0.15716667945477514
2009,0.355307155971463,0.6133107460266859,0.4525252768897795,0.1607854691369064
2010,0.3720662246394857,0.606886084172922,0.44231544605828566,0.16457063811463643
2011,0.38991500976654697,0.6009885624875421,0.43239231051147897,0.16859625197606312
2012,0.40885605805377384,0.5958513214960761,0.42293271771084895,0.1729186037852272
2013,0.428765922671041,0.5916204047572748,0.41407790833312696,0.17754249642414793
2014,0.44962957198549824,0.5883123424925092,0.4058363280260086,0.18247601446650052
2015,0.4713239742581293,0.5859559615967284,0.39825080801268053,0.18770515358404785
2016,0.4932698554174963,0.5845825071931171,0.3914781411225076,0.19310436607060955
2017,0.5151567919045724,0.5843431380279507,0.38566512795908303,0.19867801006886762
2018,0.5254280179962725,0.6236220356407934,0.408817740518463,0.2148042951223304
2019,0.5416816469627846,0.6151963747808332,0.3990424196803607,0.2161539551004725
2020,0.5581152236899204,0.6073634657211431,0.3898065152606545,0.21755695046048854
2021,0.5762498044895765,0.6009892966358941,0.38127795158109934,0.21971134505479473
2022,0.5969248677536118,0.5958878687427722,0.3731470908715984,0.22274077787117383
2023,0.6203130807882274,0.592450157584133,0.3656393104571656,0.2268108471269675
