ano,beta
1979,0.6932348300354909
1980,0.6680765927353564
1981,0.7028876881090801
1982,0.6124569638280647
1983,0.467924819775164
1984,0.36642691484841244
1985,0.4199937552765386
1986,0.27482681845916285
1987,0.32304256833958134
1988,0.18762528055441444
1989,0.029711665801256826
1990,-0.09515126058027647
1991,-0.19462854734387888
1992,-0.16308830415326706
1993,-0.08945448520701986
1994,-0.15037136203545162
1995,-0.15942521250937144
1996,-0.15231219563953616
1997,-0.23011067511270336
1998,-0.15983436284689836
1999,-0.04780033707106176
2000,-0.2304649917075707
2001,-0.097250885212798
2002,-0.07187331728944155
2003,-0.15485055792847605
2004,-0.11084490550972034
2005,-0.24241891877417582
2006,-0.22223003899173674
2007,-0.16063700743538906
2008,-0.04463582929187248
2009,-0.21955053174749764
2010,-0.33646769439584245
2011,-0.3762752301880045
2012,-0.2721667602048522
2013,-0.20580422599129772
2014,-0.17491433115463
2015,-0.16546216840331554
2016,-0.12391976732730284
2017,-0.09426399370913434
