cohort_index,gamma
0,-0.25442819690991886
1,-0.25063493032208245
2,-0.13662929033317103
3,-0.0658079417864967
4,0.05620953729331656
5,0.2363510686986149
6,0.2172113124960045
7,0.2299835618892563
8,0.2402387915124798
9,0.3250204641938213
10,0.2898625612299664
11,0.28222922291346864
12,0.32885226722213223
13,0.3581094549128084
14,0.40149559516254224
15,0.3980230732101444
16,0.4144909829392827
17,0.44380944679438783
18,0.4282016262316805
19,0.36856714239492433
20,0.44582351953727817
21,0.3945223812240387
22,0.3609217962920182
23,0.31293456361916905
24,0.32039377261810464
25,0.2555868555914937
26,0.26121462192927064
27,0.28342010765373526
28,0.30653770272572634
29,0.20560723928523195
30,0.1816883556999851
31,0.10496269601354218
32,0.11498736704170472
33,0.06410313925860624
34,-0.03467045509298848
35,-0.10445091565040025
36,-0.08866620365761818
37,-0.16982498041014765
38,-0.14857873360210874
39,-0.21512703438971617
40,-0.1786619746745621
41,-0.2103566346142799
42,-0.336183767354244
43,-0.4007538503721995
44,-0.4280076349149904
45,-0.44802989352486194
46,-0.46394150643342547
47,-0.4802217334014665
48,-0.4503115417560973
49,-0.4392774637402494
50,-0.5114612863016982
51,-0.5909552276014537
52,-0.6894071882673226
53,-0.7540074302405965
54,-0.7809644122326392
