ano,kt
1979,14.224285784374835
1980,12.555258829450965
1981,14.41356659761219
1982,12.574792303244731
1983,10.4549067562516
1984,9.974191762224667
1985,11.242773597996935
1986,7.710444100247258
1987,8.93474212844261
1988,6.770861437671095
1989,3.901669865355976
1990,4.926434859733521
1991,0.9033425257972032
1992,-1.8096524084681935
1993,2.158301446741251
1994,0.8551533470413417
1995,0.30313438011334237
1996,-0.5063744082344174
1997,-3.5191441260865024
1998,-3.3584212270161635
1999,-1.4803209691981396
2000,-5.380514037918445
2001,-1.411613697707386
2002,-2.2525048230941342
2003,-4.060222887418393
2005,-5.562520347104127
2006,-6.763623333564575
2007,-7.078772231796149
2008,-5.553691415951519
2009,-8.005400102210762
2010,-7.448899060482884
2011,-11.666990724410343
2012,-12.38546749097705
2014,-10.388776781754231
2016,-11.891913919064788
2017,-11.379035729841323
