year,kt_lo,kt_med,kt_hi
1979,15.939738110423079,17.52552445024464,18.964688701973305
1980,16.162660770420672,17.294830680422088,18.39417056063814
1981,16.99251226932232,18.312284606390115,19.695244914196746
1982,15.79523597931143,16.89416087744717,18.01416182604565
1983,13.568080197840933,14.840687550012323,15.800766021202545
1984,12.747184377454571,13.76476373716267,14.772248407995255
1985,12.971596680769347,14.021461983063816,15.236300691588085
1986,10.689755989787772,11.642500177251545,12.649222585050252
1987,9.581582159789146,10.819114974704831,12.108252709512312
1988,8.729070253252425,9.752377259419365,10.787542903614138
1989,4.339154163283518,5.859883258391597,7.564310249850871
1990,3.7310606392976653,4.813044940439965,5.948906302363844
1991,3.4708301731381335,4.588938465307071,5.6504289063799975
1992,1.622579963032072,2.6958951027786053,4.301841334458966
1993,3.2076999333693657,4.2195990264007115,5.52760483770939
1994,1.1448084711810766,2.346782860410376,3.6847850247285465
1995,0.47794002801094637,1.7289758949279164,3.016985065405041
1996,-0.14553988496289408,1.0359078152968757,2.574527525879745
1997,-3.0758988153043596,-1.0859503855603196,0.45006975390989284
1998,-0.21382023520078156,1.0018912539038936,2.165791449056077
1999,-1.6396178164481392,0.6106253492123692,2.68341558731951
2000,-2.1721888218506544,-1.104387991199299,-0.22186850044089754
2001,-0.8735149394879798,0.9587141894462254,2.569249290488738
2002,-2.792166324521366,0.07338577112527148,2.336221305602084
2003,-2.0733561136979852,-0.9438024745639699,0.2786450156670796
2004,-6.58221963638933,-4.413672705249734,-2.0912849939532396
2005,-6.011969086394158,-3.3689173525251004,-1.0776362015234064
2006,-6.679612397833374,-4.6898105961101635,-2.8696824085956227
2007,-4.898086879346096,-3.3124497293080877,-1.9735506063695814
2008,-6.076521409081775,-4.519531225989449,-2.758021390196594
2009,-7.137132792108942,-4.960131313399825,-3.2671124602284913
2010,-10.027736616202677,-7.272583628476241,-4.181591984018195
2011,-11.930767104325255,-10.063979754106349,-8.35289820601579
2012,-15.558910710306488,-13.321626819697435,-10.21714856031701
2013,-13.379112389105584,-11.262081290240761,-9.13558877208409
2014,-11.622316720955315,-10.734040538141581,-9.810603559701624
2015,-12.86745278132452,-10.301057576693132,-8.398950764538576
2016,-12.385304171703321,-11.458887531048308,-10.324603531689213
2017,-15.905357027910993,-13.708277616330069,-11.370044590182784
2018,-12.073708634066664,-10.428433827275992,-8.77594284469825
2019,-10.982717043759815,-9.882180880792296,-8.858421908585072
2020,-14.195540540512138,-11.372283510661685,-8.937738988211668
2021,-12.368115721946932,-10.613274669369297,-8.858399733023964
2022,-12.881969318300522,-8.932049631430374,-6.254569198469585
2023,-7.577255254382751,-5.9628302702602785,-4.177230694852454
