age,ax_lo,ax_med,ax_hi
1,-11.896686070245774,-11.82367693580823,-11.756918065833636
2,-13.20600694538967,-13.084248170769722,-12.973853568882896
3,-13.208752055162648,-13.127177951177508,-13.025820710937381
4,-12.100651684591822,-12.038561902913461,-11.979676249309968
5,-11.373611993605566,-11.3218581558263,-11.274216205473936
6,-11.080645850596277,-11.007263368802585,-10.939362396524691
7,-10.756220628879078,-10.7066396752099,-10.652111570878418
8,-10.581738944025961,-10.533499504312083,-10.484340901029837
9,-10.3273586777527,-10.28311560534323,-10.241898732697635
10,-10.113820094741474,-10.068834415978543,-10.021374180367767
11,-9.772029744384653,-9.740520844362862,-9.700632867836537
12,-9.526119440267813,-9.497439704349706,-9.466026746831563
13,-9.192960008134126,-9.167823259047928,-9.132379348989106
14,-8.899439675478474,-8.860128953295394,-8.824048957364598
15,-8.592155368682384,-8.560476499842773,-8.528489789823528
16,-8.349667746811779,-8.308907645618536,-8.258084243937828
17,-8.20642373471725,-8.14971363689655,-8.09492362673699
