age,b2_lo,b2_med,b2_hi
1,0.011244834077928815,0.13239826190880105,0.2701889581602547
2,-0.9030864686812138,-0.8360153931474236,-0.7282440545453697
3,-0.4747176340765291,-0.2552872966055625,0.02288486019467512
4,0.007038869197521383,0.1343293184819737,0.2460830778383992
5,0.06067317756750875,0.1687187321256228,0.2712792556925839
6,-0.03975611857327223,0.11715812833887569,0.23377879976549473
7,0.1051925383764131,0.16598469828463633,0.24911135983558522
8,0.04327727848489243,0.13867753668047506,0.2118999258695755
9,0.04744875790561644,0.14435053355012795,0.2187265456329361
10,-0.11900833828022235,-0.03324362320501473,0.05245358033884373
11,-0.1396986931009599,-0.06585500198253717,0.007735442642431711
12,-0.033868971835568654,0.03134670624014081,0.1026162547111434
13,0.04198701001053395,0.08828462881576475,0.13842747537491298
14,0.005139591675745475,0.05842919088534393,0.12197561765216795
15,-0.023402168934121396,0.04880760869927736,0.11554233121679826
16,-0.17118106656951754,-0.050015172605364394,0.055365204186773105
17,-0.09734083635042957,-0.003814776931574622,0.08163615493334947
