age,bx_lo,bx_med,bx_hi
1,0.07653333579342249,0.08393335429585597,0.0919584513425651
2,0.09158276098357222,0.10341651543633568,0.11389441469676756
3,0.06021554514552306,0.07161107585699791,0.0805397020390034
4,0.046825556501096925,0.05140360393366908,0.05543310549433348
5,0.0446102865150851,0.050491037086107894,0.05565029990088887
6,0.04372190172317398,0.04973730130716654,0.05625860043969289
7,0.046814492887987474,0.0527923680343024,0.05828927780506145
8,0.05924676146430297,0.06266129241740256,0.06613794522298627
9,0.055910989330399966,0.0599111588793887,0.0643621810477496
10,0.05380995257360345,0.05897562747041121,0.06283809824019286
11,0.05770686318792876,0.061754153524071424,0.06572892782599692
12,0.05423349852082897,0.0568149699626264,0.06053460280271269
13,0.05461338204457722,0.05750638695744942,0.06048328983192524
14,0.048658708746088374,0.05315197604434943,0.05676583472496824
15,0.050538324382512684,0.053721663203035674,0.05719038680528973
16,0.036699511226583666,0.04259041739239928,0.04802538848160125
17,0.024291395095291754,0.03035398692827488,0.03503871758928904
