year,N,MAE_x100k,MAPE_%,SMAPE_%,MSE_x100k,RMSE_x100k,MSE_logm,RMSE_logm
1979,4,1.2849546284486668,13.783321613309752,15.275223329955049,2.024206580871312,1.4227461406980908,0.043224937111998256,0.20790607762159877
1980,4,0.9896415373493932,10.318417670707907,11.374689606815574,1.6107788181943221,1.2691646143012032,0.024009643296130104,0.1549504543269561
1981,4,1.5455367410040632,11.802791068113494,12.397629221191568,3.0835985667099157,1.7560178150320445,0.020194749419321336,0.14210823135667172
1982,4,0.6335674652007823,10.304118552738027,11.190691970316191,0.4758518353609174,0.6898201471114898,0.026963902694317393,0.1642068899112257
1983,4,2.132950261033167,6.982250998993059,7.173593368110681,12.134445003945878,3.483453028812916,0.00676875089506214,0.08227241879914642
1984,4,0.43440817743231275,5.86520019103337,5.732800438831995,0.3287904676682899,0.5734025354568028,0.004308290847363099,0.0656375719185521
1985,4,0.642613423318111,7.0931800338047095,6.7185103527132775,0.5717701002309323,0.756154812343962,0.008385001967529077,0.09156965636895814
1986,4,0.6592369116639365,9.484222704668275,9.943699033891784,0.5178052945495769,0.7195868915909857,0.01629619698101503,0.12765655870739673
1987,4,0.9036718186821053,9.335294094649333,8.828645109738329,1.9330175615195913,1.3903300189234178,0.00990214581967787,0.09950952627601978
1988,4,1.8136339227995988,10.489360025674053,10.026083216509447,8.773249048048362,2.9619670909799725,0.01154171864937736,0.10743239106236703
1989,4,1.1341980446674986,11.397259673378308,11.162874914266567,2.497201127516513,1.5802535010296648,0.013337165818062057,0.11548664779125792
1990,4,0.6730698517465485,7.200369278593052,6.860333496522797,1.4173990755271142,1.1905457049299344,0.00648106640967998,0.08050507070787516
1991,4,0.887541870412194,8.89242990439981,8.261819438945265,2.1306973551717716,1.459690842326474,0.011569133693930376,0.10755990746523714
1992,4,0.5652993579899063,6.907880045631256,6.767501915989792,0.590609120601833,0.7685109762403092,0.004901778771933182,0.07001270436094569
1993,4,0.4260417100394577,14.191670410063061,13.045019448696827,0.2775438248015536,0.5268242826612622,0.024836123462798346,0.15759480785482224
1994,4,0.9706907884659317,13.76335430924108,12.525606307176146,2.157136587765127,1.4687193699836354,0.02552676215058508,0.1597709677963587
1995,4,0.42359064825907333,13.286571245984891,11.91963256920692,0.2913566822528163,0.5397746587723588,0.029148271808605852,0.1707286496420734
1996,4,0.6013655146608319,22.82509793619305,18.566871910440224,0.48879276225088386,0.699137155535939,0.0720041583016376,0.26833590572571087
1997,4,0.8552994638780953,26.885097143653454,22.166858551180237,1.6993922033008788,1.3036073808094517,0.08070720741375234,0.28409013959261653
1998,4,1.0643240466982358,18.138146596486987,15.92048757335023,2.8639225704236715,1.6923127874077155,0.04195841333012279,0.2048375291056861
1999,4,1.377209138306992,15.881706577263696,15.759267930616176,5.738569003928935,2.395531048416809,0.034884286888497644,0.18677335700923095
2000,4,1.3501893392164541,11.661647421471708,11.966598169319969,5.4041721483350456,2.3246875377854646,0.01579523051209907,0.12567907746359006
2001,4,0.3506585116334064,16.734661856094355,13.51905483413075,0.17714188509207762,0.42088226987137106,0.05204869296403096,0.22814182642389572
2002,4,0.8693404508104385,24.832490032426307,21.513186347708523,1.0951010471255362,1.0464707578931847,0.07000750584989557,0.2645893154492365
2003,4,1.9275973574930962,19.279803840307245,18.726712563829125,9.44386529751857,3.0730872583639033,0.035833563338404165,0.18929755238355345
2004,4,1.8258498112149089,11.52094462431471,11.845976340627946,10.943139617392694,3.3080416589566544,0.019032613427584007,0.13795873813421172
2005,4,0.32787471857777795,20.871450494770038,18.389514075974507,0.1474005378895938,0.38392777691851604,0.05799607838596522,0.24082374963023315
2006,4,0.7068283633217385,11.895542105283365,13.1295295452719,1.3289784913929021,1.1528132942471223,0.03450245393350169,0.1857483618595375
2007,4,0.75352461866024,7.378869658652075,7.560348335802608,1.3090876667639708,1.1441536901850078,0.007249320640739447,0.08514294240123163
2008,4,1.0818436139983545,16.686639416963168,18.042223547336576,2.4669940007887003,1.5706667376591064,0.038370406525199664,0.1958836555846344
2009,4,0.2569366541531436,7.310033137838825,7.298231407237281,0.13505604109441802,0.3674997157746085,0.008500101467865296,0.09219599485804846
2010,4,0.6610972235236564,13.243209948291446,12.35506087920936,1.2848492105277596,1.1335118925391827,0.0208027127442808,0.14423145546059224
2011,4,0.7512764642419912,17.003774374980875,17.89945189804434,1.3483983801867352,1.1612055718892909,0.045261300824569736,0.21274703481968846
2012,4,0.4351018713951756,10.322570030504806,10.396742955550863,0.43895043516366294,0.6625333464540958,0.012177132354586982,0.11035004465149519
2013,4,0.565614639367918,18.578108712115853,22.14862002195181,0.6687677538005118,0.8177822166081332,0.09679227030934895,0.31111456139073423
2014,4,1.0811762504594662,15.625828101028619,15.873359433388693,2.950044937182702,1.7175694854015957,0.029700468264910386,0.17233823796508535
2015,4,0.4126153392878038,8.256174419714748,8.718344208049473,0.3836318659543412,0.6193802272871981,0.010942210982575761,0.10460502369664547
2016,4,1.0460399292719564,13.107256146510215,12.321098223321345,3.3918173584738724,1.8416887246421074,0.016932575445800478,0.13012522985878056
2017,4,0.4016230178668737,16.031668821915545,16.99159574727798,0.24142517917551684,0.4913503629544979,0.05639824089294883,0.23748313812342303
2018,4,0.9159816636341691,7.992393764648719,7.712049575863035,2.7996885034567667,1.6732269730842755,0.008651946141726166,0.0930158381230109
